year,age_gp,sex,race,edclass,Tmort,MVACCmort,OPDPOImort,ALCPOImort,UIJmort,SIJmort,OTHJmort,COVIDmort,FLUmort,OTHINFmort,HEARTmort,CANCERmort,STROKEmort,RESPmort,ALZHmort,DMmort,KIDNEYmort,LIVERmort,AUDmort,OTHNCDmort,RESTmort,tpop,Trate,MVACCrate,OPDPOIrate,ALCPOIrate,UIJrate,SIJrate,OTHJrate,COVIDrate,FLUrate,OTHINFrate,HEARTrate,CANCERrate,STROKErate,RESPrate,ALZHrate,DMrate,KIDNEYrate,LIVERrate,AUDrate,OTHNCDrate,RESTrate
2000,"18:18-24",2,"3-Hisp","LEHS",567.9206,173.4506,7,1,31.88571,24,86.18182,0,6,7,23,63.17857,8.727273,2,0,4,5,2,1,63.2875,60.67692,1569003,36.19627,11.05483,.4461432,.0637347,2.032228,1.529634,5.492776,0,.3824084,.4461432,1.465899,4.02667,.5562305,.1274695,0,.254939,.3186737,.1274695,.0637347,4.033612,3.867228
2000,"18:18-24",2,"4-Others","LEHS",180.8051,62.14286,1,3,11.95652,24.48387,16.76191,0,2.666667,4,4,15.51724,0,1,0,0,0,1,0,17.28,15.64706,446751,40.47112,13.90995,.2238383,.671515,2.676328,5.480429,3.751957,0,.5969023,.8953533,.8953533,3.473353,0,.2238383,0,0,0,.2238383,0,3.867927,3.502412
2000,"18:18-24",2,"1-WNH","SomeC",1011.543,429.4843,25.26042,1,69.23265,87.66283,65.45923,0,6.363636,7.378378,38.59589,98.09271,11.275,9.142858,0,8.258064,3.3,5.454545,0,97.65306,45.89474,2476875,40.83949,17.33977,1.01985,.0403735,2.795161,3.539251,2.642815,0,.256922,.2978906,1.558249,3.960342,.4552107,.3691287,0,.3334066,.1332324,.2202188,0,3.942591,1.852929
2000,"18:18-24",2,"2-BNH","SomeC",301.252,81.375,1.166667,0,7.686275,14.54902,45.25974,0,2.222222,5.142857,27.77778,23.925,2.4,5.263158,0,4.545455,0,1.4,0,43.40102,32.83019,377467,79.80884,21.55818,.3090778,0,2.036277,3.854382,11.99038,0,.5887196,1.362465,7.358995,6.338302,.6358172,1.394336,0,1.204199,0,.3708933,0,11.49796,8.697499
2000,"18:18-24",2,"3-Hisp","SomeC",136.7603,59.20172,0,0,1.028571,13,8.727273,0,1,4,2,16.57143,2.181818,0,0,2,0,0,0,18.675,7.323077,352677,38.77777,16.78638,0,0,.2916469,3.686092,2.47458,0,.2835456,1.134182,.5670911,4.698755,.6186449,0,0,.5670911,0,0,0,5.295213,2.076426
2000,"18:18-24",2,"4-Others","SomeC",95.21691,39.64286,0,0,9.782609,6.387097,4.190476,0,1.333333,1,4,10.34483,3,1,0,0,1,1,0,9.72,3.352941,271036,35.13073,14.62642,0,0,3.609339,2.356549,1.546096,0,.4919396,.3689547,1.475819,3.816772,1.106864,.3689547,0,0,.3689547,.3689547,0,3.58624,1.237083
2000,"18:18-24",2,"1-WNH","4+yrs",215.3815,94.38051,0,0,12.58776,19.72414,6.334764,0,1.272727,2.108108,5.513699,30.92053,3.075,0,0,2.064516,0,1.090909,0,19.08163,16.689,951771,22.62955,9.916305,0,0,1.322561,2.072362,.6655765,0,.133722,.2214932,.5793093,3.248736,.3230819,0,0,.2169131,0,.1146189,0,2.004855,1.753468
2000,"18:18-24",2,"2-BNH","4+yrs",59.80738,17.96591,0,0,1.098039,1.039216,3.311688,0,0,1.285714,3.333333,6.525,1.2,1.052632,0,0,0,1.4,0,12.56345,9.056603,69835,85.64099,25.72623,0,0,1.572334,1.488101,4.742161,0,0,1.841074,4.773156,9.343452,1.718336,1.507312,0,0,0,2.004725,0,17.99019,12.96857
2000,"18:18-24",2,"3-Hisp","4+yrs",31.31915,9.347639,0,0,3.085714,0,1.090909,0,3,0,5,7.25,1.090909,0,0,0,0,0,0,1.0375,0,81494,38.43123,11.47034,0,0,3.786431,0,1.338637,0,3.681253,0,6.135421,8.89636,1.338637,0,0,0,0,0,0,1.2731,0
2000,"18:18-24",2,"4-Others","4+yrs",14.97794,3.214286,0,0,3.26087,2.129032,1.047619,0,0,0,1,4.137931,0,0,0,0,0,0,0,0,0,124033,12.07577,2.591476,0,0,2.629034,1.716505,.8446293,0,0,0,.806237,3.336153,0,0,0,0,0,0,0,0,0
2000,"25:25-29",1,"1-WNH","LEHS",4770.905,1201.595,279.0722,24.85714,607.1921,981.2349,315.5122,0,31.62857,23.67647,217.9169,221.2587,48.62903,18,.3333333,37.24138,18,28.16667,15,424.2,278.2619,2608556,182.8945,46.06359,10.69834,.9529082,23.27695,37.61602,12.09528,0,1.212493,.9076466,8.35393,8.482039,1.864213,.690037,.0127785,1.427663,.690037,1.07978,.5750308,16.26187,10.66728
2000,"25:25-29",1,"2-BNH","LEHS",2473.63,317.9768,47.84,8,128.7736,161.5545,994,0,16.9,11.11111,145.946,72.33334,11,19.33333,0,30.27027,10.63636,9.1,6,187.757,293.9579,581570,425.3365,54.67559,8.226009,1.375587,22.14241,27.77902,170.9167,0,2.905927,1.910537,25.09517,12.4376,1.891432,3.324335,0,5.204923,1.828905,1.56473,1.03169,32.28451,50.54558
2000,"25:25-29",1,"3-Hisp","LEHS",1773.619,450.7866,70.68421,12.92308,183.8495,172.178,377.2895,0,9,18,69.26028,82.72727,20.84211,3,0,12,4,14,10.8,105.1327,157.6398,1362669,130.1578,33.08115,5.187189,.948365,13.49186,12.63535,27.68753,0,.6604685,1.320937,5.082693,6.070973,1.529506,.2201562,0,.8806247,.2935416,1.027395,.7925622,7.715208,11.56846
2000,"25:25-29",1,"4-Others","LEHS",340.3247,84.65909,9.333333,3,38.49057,62.2347,41.75926,0,3.75,4,12.5,15.75,2,6,0,0,2,5,2,23.8,25.08,235949,144.2366,35.88025,3.955657,1.271461,16.31309,26.37633,17.69843,0,1.589327,1.695282,5.297755,6.675171,.8476408,2.542922,0,0,.8476408,2.119102,.8476408,10.08693,10.62942
2000,"25:25-29",1,"1-WNH","SomeC",1338.116,304.1336,77.46111,4.142857,177.5036,285.0103,48.86721,0,8.2,6.176471,68.70287,122.2191,11.8871,8,.3333333,16.55172,5,6.5,2,102.4691,82.09259,1365746,97.9769,22.26868,5.671707,.3033402,12.99682,20.86847,3.57806,0,.6004044,.4522415,5.030428,8.948891,.8703739,.5857605,.0244067,1.211918,.3661003,.4759304,.1464401,7.502793,6.010824
2000,"25:25-29",1,"2-BNH","SomeC",491.6667,98.83063,3.12,0,42.92453,45.05941,120.4848,0,5.2,6.666667,36.75676,16.07407,4,7.518518,0,7.567567,2.363636,3.9,0,36.63551,55.25526,234641,209.54,42.11993,1.329691,0,18.2937,19.20355,51.34859,0,2.216151,2.84122,15.6651,6.850497,1.704732,3.204265,0,3.225168,1.007342,1.662114,0,15.61343,23.54885
2000,"25:25-29",1,"3-Hisp","SomeC",179.7441,56.8954,7.276316,0,18.82796,21.25654,19.18421,0,1,0,4.328767,12.72727,1.157895,1,0,4,0,0,1.2,10.61947,20.12422,261941,68.62006,21.72069,2.777845,0,7.187862,8.115012,7.323867,0,.3817654,0,1.652573,4.858832,.4420441,.3817654,0,1.527061,0,0,.4581184,4.054145,7.682732
2000,"25:25-29",1,"4-Others","SomeC",102.7604,32.73485,1.166667,0,9.056603,20.7449,9.166667,0,1.25,1,2.083333,7.35,0,2,0,1,1,0,1,6.8,6.6,165169,62.21531,19.819,.7063472,0,5.483234,12.5598,5.549871,0,.7568006,.6054405,1.261334,4.449987,0,1.210881,0,.6054405,.6054405,0,.6054405,4.116995,3.995907
2000,"25:25-29",1,"1-WNH","4+yrs",810.9792,163.2717,25.46667,0,122.3043,157.7548,27.6206,0,1.171429,5.147059,49.38019,108.5221,6.483871,5,.3333333,6.206897,1,4.333333,5,79.33091,42.6455,1792490,45.24316,9.108656,1.420743,0,6.823151,8.800875,1.540907,0,.065352,.2871458,2.754838,6.054268,.3617243,.2789416,.0185961,.3462723,.0557883,.2417494,.2789416,4.425738,2.379121
2000,"25:25-29",1,"2-BNH","4+yrs",161.7037,46.19257,1.04,0,3.301887,15.38614,21.51515,0,3.9,2.222222,17.2973,4.592593,3,2.148148,0,2.162162,0,0,0,20.60748,18.78679,136885,118.1311,33.74553,.7597618,0,2.412161,11.24019,15.71768,0,2.849107,1.623423,12.63637,3.355074,2.191621,1.569309,0,1.579546,0,0,0,15.05459,13.7245
2000,"25:25-29",1,"3-Hisp","4+yrs",60.63656,15.31799,1.039474,1.076923,3.322581,9.565445,8.526316,0,0,0,5.410959,9.545455,0,0,0,0,0,0,0,4.247787,2.236025,153688,39.45432,9.96694,.6763532,.7007204,2.1619,6.223938,5.547808,0,0,0,3.520742,6.21093,0,0,0,0,0,0,0,2.763903,1.454912
2000,"25:25-29",1,"4-Others","4+yrs",114.9148,31.60606,3.5,0,12.45283,24.02041,4.074074,0,0,1,10.41667,18.9,2,0,0,1,0,0,0,3.4,1.32,331218,34.69463,9.542374,1.056706,0,3.759708,7.252145,1.230028,0,0,.301916,3.144958,5.706212,.6038319,0,0,.301916,0,0,0,1.026514,.3985291
2000,"25:25-29",2,"1-WNH","LEHS",1742.481,359.3782,81.44231,5,124.3636,155.9434,130.7919,0,27.94118,18.75862,111.9826,191.7659,35.13726,20.74074,0,31.33333,14.77778,8.727273,3,255.4574,166.8085,2288462,76.14202,15.70392,3.558823,.2184874,5.434376,6.814332,5.715275,0,1.220959,.8197043,4.893354,8.379683,1.535409,.9063178,0,1.369187,.6457515,.3813598,.1310924,11.16284,7.28911
2000,"25:25-29",2,"2-BNH","LEHS",947.3813,97.24,12.72727,1,34.26316,20,104.6763,0,7.7,10.90909,98.17911,62.75229,16.1,14.44444,0,25.15625,11.78571,8,1,180.9573,241.2509,682267,138.8579,14.25248,1.865439,.1465702,5.021957,2.931404,15.34242,0,1.12859,1.598948,14.39013,9.197615,2.35978,2.117125,0,3.687156,1.727434,1.172562,.1465702,26.52294,35.3602
2000,"25:25-29",2,"3-Hisp","LEHS",463.2442,72.07921,9,2,21,17,46.69388,0,7.875,8,25,71.12643,14,2,0,4,1,3,0,79.45744,80.46591,1080031,42.89175,6.673809,.8333094,.1851799,1.944389,1.574029,4.323383,0,.7291458,.7407195,2.314748,6.585592,1.296259,.1851799,0,.3703597,.0925899,.2777698,0,7.356959,7.450334
2000,"25:25-29",2,"4-Others","LEHS",113.42,26.55319,0,2,4.727273,10.28571,7.538462,0,2,1,6.666667,9.391304,3,1,0,1,0,4,1,16.76191,16.42857,213046,53.23733,12.4636,0,.9387644,2.218898,4.827931,3.53842,0,.9387644,.4693822,3.129215,4.408111,1.408147,.4693822,0,.4693822,0,1.877529,.4693822,7.86774,7.711279
2000,"25:25-29",2,"1-WNH","SomeC",648.092,124.7254,20.09615,1,43.63636,76.35849,37.83237,0,5.588235,6.62069,41.31395,116.9561,9.882353,5.185185,0,11.48889,2.111111,3.272727,2,84.43085,55.25532,1487092,43.58116,8.3872,1.351373,.0672453,2.934342,5.134752,2.54405,0,.3757828,.4452105,2.778171,7.864752,.6645421,.3486795,0,.7725742,.1419624,.2200756,.1344907,5.677581,3.715662
2000,"25:25-29",2,"2-BNH","SomeC",287.5581,33.176,1.272727,0,6.631579,13.33333,37.76978,0,2.2,8.727273,29.8806,35.22936,2.3,4.444445,0,6.5625,1.071429,1,0,57.26496,46.22097,339490,84.70296,9.772305,.3748939,0,1.953395,3.92746,11.12545,0,.6480309,2.570701,8.801613,10.37714,.6774868,1.309153,0,1.933047,.3155994,.2945595,0,16.86794,13.61483
2000,"25:25-29",2,"3-Hisp","SomeC",82.23886,17.50495,2,0,4,6,2.122449,0,1.125,0,8,12.55172,1,0,0,1,1,0,0,13.41489,12.125,323786,25.39914,5.406333,.6176919,0,1.235384,1.853076,.6555098,0,.3474517,0,2.470768,3.876549,.308846,0,0,.308846,.308846,0,0,4.143136,3.744757
2000,"25:25-29",2,"4-Others","SomeC",53.5,9.957447,0,0,4.727273,16.45714,5.384615,0,0,1,2.222222,6.26087,1,0,0,0,0,1,0,2.095238,3.285714,164139,32.59433,6.066473,0,0,2.880042,10.02635,3.280522,0,0,.6092398,1.353866,3.81437,.6092398,0,0,0,0,.6092398,0,1.276502,2.001788
2000,"25:25-29",2,"1-WNH","4+yrs",511.4268,127.8964,8.461538,1,24,52.69811,18.37572,0,4.470588,6.62069,33.70349,123.278,10.98039,2.074074,0,4.177778,2.111111,0,1,67.1117,22.93617,2092251,24.44386,6.11286,.4044227,.0477954,1.14709,2.518728,.8782753,0,.2136736,.3164386,1.610872,5.892125,.5248124,.0991312,0,.1996786,.1009014,0,.0477954,3.207632,1.096244
2000,"25:25-29",2,"2-BNH","4+yrs",127.0606,12.584,0,0,1.105263,6.666667,7.553957,0,1.1,4.363636,14.9403,22.01835,4.6,1.111111,0,3.28125,2.142857,2,0,29.77778,13.52809,218930,58.03707,5.747956,0,0,.5048477,3.045113,3.450398,0,.5024437,1.993165,6.824235,10.05725,2.101128,.5075189,0,1.498767,.9787864,.913534,0,13.60151,6.179185
2000,"25:25-29",2,"3-Hisp","4+yrs",38.51693,14.41584,1,0,1,1,3.183673,0,0,1,0,7.321839,0,1,0,0,0,0,0,4.12766,4.409091,202044,19.06364,7.135001,.4949417,0,.4949417,.4949417,1.575733,0,0,.4949417,0,3.623883,0,.4949417,0,0,0,0,0,2.042951,2.182243
2000,"25:25-29",2,"4-Others","4+yrs",47.08,15.48936,0,0,3.545455,9.257143,1.076923,0,0,0,1.111111,8.347826,0,1,0,0,0,1,0,3.142857,3.285714,325840,14.44881,4.753671,0,0,1.088097,2.841009,.3305067,0,0,0,.340999,2.56194,0,.3068991,0,0,0,.3068991,0,.96454,1.008383
2000,"30:30-34",1,"1-WNH","LEHS",6221.394,1090.261,357.9358,29.36585,739.8387,1065.554,323.682,0,48.125,36.76596,545.6241,435.6555,63.78571,26.66667,0,112.3179,28.22857,91.43363,44.34375,595.9373,588.8133,3083705,201.7506,35.35556,11.60733,.9522913,23.99188,34.55436,10.49653,0,1.560623,1.192266,17.69378,14.12767,2.068476,.8647606,0,3.642303,.9154109,2.965058,1.438002,19.32537,19.09435
2000,"30:30-34",1,"2-BNH","LEHS",2750.735,270.2915,73.86905,8,168.838,129.2484,626.2653,0,24.32,31.5,258.0564,116.2,42.44898,34.16667,0,42.38462,23.2963,17.77273,17.77778,255.0401,608.7903,585968,469.4343,46.12735,12.60633,1.365262,28.81352,22.05724,106.8771,0,4.150397,5.37572,44.03934,19.83043,7.244248,5.830808,0,7.233265,3.975694,3.033054,3.033916,43.52458,103.8948
2000,"30:30-34",1,"3-Hisp","LEHS",1883.488,308.8528,107.3125,9.1,210.875,122.1951,284.5818,0,13.8125,23.62963,101.6216,106.8571,33.56097,7,0,24.53333,6,64.6875,15.55556,156.0952,288.2264,1178123,159.8719,26.21566,9.108768,.7724152,17.89923,10.37202,24.15553,0,1.172416,2.005701,8.625723,9.070117,2.848682,.5941654,0,2.082408,.5092847,5.490726,1.320368,13.24949,24.46488
2000,"30:30-34",1,"4-Others","LEHS",364.0858,60.80769,7.090909,5.625,37.5,52.61194,33.75555,0,2,8,23.33333,21.82353,5,2.666667,0,7,1.5,24.5,11,21.84,37.95555,248017,146.7987,24.51755,2.859041,2.26799,15.11993,21.21304,13.61018,0,.8063964,3.225585,9.407957,8.799208,2.015991,1.075195,0,2.822387,.6047972,9.878355,4.43518,8.805848,15.30361
