year,age_gp,sex,race,edclass,tmort,mvaccmort,opioidmort,alcpoimort,uijmort,sijmort,othjmort,covmort,flumort,othinfmort,heartmort,cancermort,strokemort,respmort,dementiamort,dmmort,kidneymort,livermort,audmort,othncdmort,restmort
2000,25,1,"3-Hisp","SomeC",179.7441,56.8954,7.276316,0,18.82796,21.25654,19.18421,0,1,0,4.333333,12.72727,1.157895,1,0,4,0,0,1.15,10.63636,20.12422
2000,25,1,"3-Hisp","College",60.63656,15.31799,1.039474,1,3.322581,9.565445,8.526316,0,0,0,4.333333,9.545455,0,0,0,0,0,0,1.15,4.254546,2.236025
2000,25,1,"4-Others","LEHS",340.3247,84.65909,9.333333,1,38.49057,62.2347,41.75926,0,3.75,4,12.5,15.75,2,6,0,0,2,5,2.666667,23.8,26.15385
2000,25,1,"4-Others","SomeC",102.7604,32.73485,1.166667,0,9.056603,20.7449,9.166667,0,1.25,1,2.083333,7.35,0,2,0,1,1,0,1.333333,6.8,6.538462
2000,25,1,"4-Others","College",114.9148,31.60606,3.5,0,12.45283,24.02041,4.074074,0,0,1,10.41667,18.9,2,0,0,1,0,0,0,3.4,1.307692
2000,25,2,"1-WNH","LEHS",1742.481,359.3782,81.44231,0,124.3636,155.9434,130.7919,0,27.94118,18.75862,111.9826,191.7659,35.13726,20.74074,1,31.33333,14.77778,8,7,254.0214,168.8354
2000,25,2,"1-WNH","SomeC",648.092,124.7254,20.09615,1,43.63636,76.35849,37.83237,0,5.588235,6.62069,41.31395,116.9561,9.882353,5.185185,0,11.48889,2.111111,3,2,84.6738,55.23629
2000,25,2,"1-WNH","College",511.4268,127.8964,8.461538,0,24,52.69811,18.37572,0,4.470588,6.62069,33.70349,123.278,10.98039,2.074074,0,4.177778,2.111111,0,2,67.30481,22.92827
2000,25,2,"2-BNH","LEHS",947.3813,97.24,12.72727,1,34.26316,20,104.6763,0,7.7,10.90909,98.17911,62.75229,16.1,14.44444,0,25.15625,11.78571,6,1,183.0508,241.2509
2000,25,2,"2-BNH","SomeC",287.5581,33.176,1.272727,0,6.631579,13.33333,37.76978,0,2.2,8.727273,29.8806,35.22936,2.3,4.444445,0,6.5625,1.071429,1,0,57.20339,46.22097
2000,25,2,"2-BNH","College",127.0606,12.584,0,0,1.105263,6.666667,7.553957,0,1.1,4.363636,14.9403,22.01835,4.6,1.111111,0,3.28125,2.142857,2,0,29.74576,13.52809
2000,25,2,"3-Hisp","LEHS",463.2442,72.07921,9,0,21,17,46.69388,0,7.875,8,25,71.12643,14,2,0,4,1,3,1,79.45744,81.48315
2000,25,2,"3-Hisp","SomeC",82.23886,17.50495,2,0,4,6,2.122449,0,1.125,0,8,12.55172,1,0,0,1,1,0,0,13.41489,12.11236
2000,25,2,"3-Hisp","College",38.51693,14.41584,1,0,1,1,3.183673,0,0,1,0,7.321839,0,1,0,0,0,0,0,4.12766,4.404494
2000,25,2,"4-Others","LEHS",113.42,26.55319,0,2,4.727273,10.28571,7.538462,0,2,1,6.666667,9.391304,3,1,0,1,0,4,1,16.72727,16.42857
2000,25,2,"4-Others","SomeC",53.5,9.957447,0,0,4.727273,16.45714,5.384615,0,0,1,2.222222,6.26087,1,0,0,0,0,1,0,2.090909,3.285714
2000,25,2,"4-Others","College",47.08,15.48936,0,0,3.545455,9.257143,1.076923,0,0,0,1.111111,8.347826,0,1,0,0,0,0,0,4.181818,3.285714
2000,30,1,"1-WNH","LEHS",6221.394,1090.261,357.9358,5.454545,739.8387,1065.554,323.682,0,48.125,34.75555,541.5272,435.6555,63.78571,26.66667,1,112.3179,28.22857,88.57009,69.82105,600.3138,590.8613
2000,30,1,"1-WNH","SomeC",1644.712,270.7147,67.37614,4.363636,163.9355,314.2698,58.94872,0,17.5,4.088889,138.3542,182.5604,17.90476,8.205129,2,31.78808,7.6,17.49533,18.75789,154.3973,163.59
2000,30,1,"1-WNH","College",1147.894,166.0242,33.68807,2.181818,152.2258,185.1758,35.36923,0,4.375,7.155556,95.11855,188.7841,12.30952,5.128205,0,15.89404,2.171429,10.93458,10.42105,112.2889,106.5488
2000,30,1,"2-BNH","LEHS",2750.735,270.2915,73.86905,3,168.838,129.2484,626.2653,0,24.32,31.5,256.0189,116.2,42.44898,34.16667,1,42.38462,23.2963,15,25.84615,255.5397,608.7903
2000,30,1,"2-BNH","SomeC",547.2782,67.04082,9.107142,0,27.75419,37.7451,96.2653,0,6.4,7,60.23975,26.56,8.489796,3.416667,0,11.15385,6.851852,1,2.153846,50.21523,126.9249
2000,30,1,"2-BNH","College",223.9868,27.66764,2.023809,0,10.40782,8.006536,19.46939,0,1.28,3.5,24.74133,23.24,1.061224,3.416667,0,4.461538,6.851852,1,0,31.24503,57.2847
2000,30,1,"3-Hisp","LEHS",1883.488,308.8528,107.3125,0,210.875,122.1951,284.5818,0,13.8125,22.68,98.58334,106.8571,33.56097,7,1,24.53333,6,66.62687,28.22581,153.1219,289.0692
2000,30,1,"3-Hisp","SomeC",216.9966,25.47239,9.5625,1,19.36607,32.58537,10.94545,0,3.1875,4.32,14.08333,21.5873,7.341464,1,0,6.4,1,3.223881,6.774194,10.4878,37.75157
2000,30,1,"3-Hisp","College",85.51589,11.67485,2.125,1,10.75893,12.21951,5.472727,0,0,0,4.333333,7.555555,2.097561,0,0,1.066667,0,2.149254,0,8.390244,16.17924
2000,30,1,"4-Others","LEHS",364.0858,60.80769,7.090909,3,37.5,52.61194,33.75555,0,2,8,23.33333,21.82353,5,2.666667,0,7,1.5,23.47826,12.8,22.78572,39.08696
2000,30,1,"4-Others","SomeC",93.03138,17.88461,3.545455,0,3.75,15.67164,8.711111,0,1,0,6.666667,11.43137,1,1.333333,0,1,0,1.173913,3.2,3.107143,13.47826
2000,30,1,"4-Others","College",91.88284,14.30769,2.363636,0,13.75,6.716418,6.533333,0,0,0,10,19.7451,2,0,0,0,1.5,2.347826,0,3.107143,9.434783
2000,30,2,"1-WNH","LEHS",2635.724,336.5209,106.1633,1,199.218,201.4945,152.2275,0,44.91228,30.28889,226.8519,436.0928,57.16854,29.65909,1,56.89655,17.84615,54.84932,25.09091,402.0109,259.661
2000,30,2,"1-WNH","SomeC",966.825,138.9506,35.38776,1,48.72181,106.5495,41.70616,0,8.982456,11.48889,70.21605,220.1531,19.41573,9.204545,2,18.62069,8.923077,17.93151,7.636364,120.714,77.89831
2000,30,2,"1-WNH","College",752.4514,95.52852,11.44898,0,40.06015,75.95605,26.06635,0,10.10526,5.222222,52.9321,251.7541,19.41573,6.136364,1,14.48276,2.230769,4.219178,3.272727,85.27505,45.44068
2000,30,2,"2-BNH","LEHS",1494.447,77.78181,20.45455,1,63.56757,20.26667,113.1387,0,18.15789,23.4,171.5294,169.0684,39.66102,17.14286,2,37.125,23.8,17.80952,5,241.8974,432.3347
2000,30,2,"2-BNH","SomeC",444.5078,34.94545,4.545455,0,14.75676,7.466667,31.67883,0,4.842105,10.02857,52.77828,67.17949,20.9322,5.714286,0,13.5,9.066667,4.190476,3,76.44872,82.83579
2000,30,2,"2-BNH","College",153.0457,11.27273,0,0,5.675676,4.266667,10.18248,0,0,5.571429,18.69231,25.75214,4.40678,1.142857,0,3.375,1.133333,0,0,37.65385,23.82947
2000,30,2,"3-Hisp","LEHS",553.4271,66.8764,17.85,0,14,15,42.67347,0,10,9,35.47826,110.365,19.38461,4,0,8.8,9,8,2,81.75,99.70271
2000,30,2,"3-Hisp","SomeC",119.2641,15.67416,2.1,0,7,5,6.244898,0,2,1,9.391304,27.32847,6.461538,1,0,1.1,2,0,0,16.76923,16.08108
2000,30,2,"3-Hisp","College",52.3088,10.44944,1.05,0,3,6,2.081633,0,0,1,3.130435,6.30657,2.153846,0,0,1.1,2,0,0,10.48077,3.216216
2000,30,2,"4-Others","LEHS",160.7659,25.53192,7,0,7.933333,11,11.17647,0,0,3,9.45,28.4026,5,3,0,1,2,12,0,21,15.26087
2000,30,2,"4-Others","SomeC",68.89967,13.82979,0,0,4.533333,7,5.588235,0,0,0,5.25,13.67532,2,0,0,1,0,0,0,9.882353,5.869565
2000,30,2,"4-Others","College",97.33445,10.6383,0,0,4.533333,9,2.235294,0,1,1,6.3,38.92208,0,1,0,2,1,1,0,11.11765,5.869565
2000,35,1,"1-WNH","LEHS",10529.66,1252.25,570.4044,18,1157.829,1427.865,435.1709,0,102.1885,136.1074,1430.695,979.4909,156.2844,60.05797,4.5,172.8833,51.53226,369.4789,211.9124,931.3778,1061.781
2000,35,1,"1-WNH","SomeC",2609.989,296.5854,105.5515,4,258.8214,366.7136,76.85854,0,21.33607,24.95302,322.1712,364.362,44.49763,9.652174,2.25,52.70833,13.74194,67.47007,68.78832,218.005,292.0165
2000,35,1,"1-WNH","College",1782.353,205.1649,49.04412,2,156.3492,243.4219,38.97053,0,13.47541,7.939597,215.1341,361.1471,28.21801,4.289855,2.25,27.40833,5.725806,46.051,23.29927,144.6172,207.2029
2000,35,1,"2-BNH","LEHS",3843.291,265.4708,107.687,3,239.2694,119.9753,479.3755,0,33.15789,45.6875,484.1156,278.3147,107.5496,40.14894,2,73.96552,53.25,79.16666,43.64286,437.1318,952.9297
2000,35,1,"2-BNH","SomeC",795.4353,67.19385,20.19131,0,57.02214,32.91358,97.65056,0,6.631579,13.8125,114.8367,56.55,13.72973,7.595745,0,19.34483,12.20313,9.047619,3.357143,83.15619,178.9648
2000,35,1,"2-BNH","College",308.2734,25.33538,1.121739,0,6.708487,19.11111,19.97398,0,2.210526,8.5,63.04762,42.1353,5.720721,3.255319,0,5.689655,5.546875,6.785714,0,33.71197,58.10547
2000,35,1,"3-Hisp","LEHS",2141.923,252.6197,129.3403,7,202.9346,129.3691,175.1538,0,19.95,45.24,157.2193,148.8367,49.94231,9.777778,0,23.69231,9,129.6788,61.56923,187.1287,403.2743
2000,35,1,"3-Hisp","SomeC",273.0738,31.04225,17.59028,0,18.35047,21.20805,16.31868,0,0,8.12,26.20321,31.22449,2.038461,0,0,4.307693,0,6.175182,5.307693,18.17822,67.21239
2000,35,1,"3-Hisp","College",128.0034,20.33803,2.069444,0,9.714953,7.422819,6.527472,0,1.05,4.64,12.57754,23.93878,1.019231,1.222222,0,0,0,5.145986,2.123077,10.69307,19.51328
2000,35,1,"4-Others","LEHS",539.0872,57.70732,10.81818,5,50.34546,60.1039,32.37209,0,11,9,63.78947,58,15.4,9,0,9.142858,1,32.82051,22,42.48214,48.86441
2000,35,1,"4-Others","SomeC",153.361,23.30488,4.636364,0,6.454545,13.87013,12.27907,0,0,4,18.07368,17.92727,2.8,0,0,1.142857,0,6.153846,6.6,10.89286,26.79661
2000,35,1,"4-Others","College",147.5519,9.987804,1.545455,0,14.2,15.02597,3.348837,0,0,4,19.13684,40.07273,2.8,0,0,5.714286,0,1.025641,4.4,7.625,17.33898
2000,35,2,"1-WNH","LEHS",4974.966,467.1174,171.9184,1.666667,304.56,316.8124,210.2908,0,86.95689,69.92308,556.9987,1084.287,154.8864,79.78723,5,123.5429,35.64815,191.5789,52.9697,645.7711,416.8965
2000,35,2,"1-WNH","SomeC",1734.53,189.8331,60.4898,3.333333,77.76,138.9343,62.34752,0,30.49138,22.1978,157.9064,483.9231,49.13636,12.76596,1,37.6,15.27778,44.21053,10.36364,214.8916,121.8621
2000,35,2,"1-WNH","College",1280.504,97.04951,27.59184,0,49.68,105.2533,25.3617,0,13.55172,8.879121,94.09492,528.7901,30.97727,7.446808,1,26.85714,4.074074,24.21053,12.66667,140.3374,81.24138
2000,35,2,"2-BNH","LEHS",2357.779,94.26168,48.64912,0,84.88235,18.09678,131.48,0,30.37037,31.53846,324.5,385.1246,113.3,33.61364,2,53.47222,44.61538,49.32692,15.86667,350.823,546.6384
2000,35,2,"2-BNH","SomeC",659.3318,22.99065,8.280702,0,25.23529,9.580646,32.29333,0,4.555555,8.410256,89.1,158.9053,31.9,13.90909,0,19.25,10.03846,7.673077,0,111.7271,104.2272
2000,35,2,"2-BNH","College",282.889,5.747663,2.070175,0,6.882353,5.322581,9.226666,0,6.074074,1.051282,37.4,84.97018,8.8,3.477273,0,4.277778,3.346154,0,1.133333,61.44989,42.1344
2000,35,2,"3-Hisp","LEHS",860.9413,76.76289,25.6,0,34.7907,28,36,0,6.545455,9.818182,66.54762,225.3475,30.73171,7.777778,0,16.57895,10,28.77778,6,120.0365,132.6531
2000,35,2,"3-Hisp","SomeC",170.1137,15.7732,6.4,0,8.186047,3,13,0,3.272727,2.181818,13.30952,52.00328,11.26829,2.222222,0,2.210526,0,5.138889,0,14.61314,16.97959
2000,35,2,"3-Hisp","College",81.94501,9.463918,0,0,1.023256,5,4,0,2.181818,0,6.142857,33.64918,0,0,0,2.210526,0,3.083333,0,8.350365,6.367347
2000,35,2,"4-Others","LEHS",280.0231,34.03846,6,2,15.29412,11.90476,16,0,7.142857,5,22.25714,65.1,9,3,0,1,3,20.31034,4.666667,26,29.54286
2000,35,2,"4-Others","SomeC",92.96767,14.75,2,0,1.176471,1.190476,5.714286,0,2.857143,0,9.371428,18.9,5,1,0,0,0,10.68966,1.166667,10.83333,8.057143
2000,35,2,"4-Others","College",112.0092,10.21154,0,0,3.529412,11.90476,2.285714,0,0,0,9.371428,42,5,0,0,1,0,0,1.166667,15.16667,9.4
2000,40,1,"1-WNH","LEHS",15748.75,1214.788,663.5624,24.39394,1239.882,1500.74,437.051,0,196.7301,250.8263,3155.098,2233.379,324.5199,145.8466,5,368.7188,80.76923,814.0639,374.5077,1446.068,1276.071
2000,40,1,"1-WNH","SomeC",3978.857,305.2927,150.1415,5.30303,286.5363,409.4847,84.13232,0,36.38938,59.01796,758.7668,646.1149,78.40749,23.02841,4,91.9125,38.07692,198.9456,63.13129,368.7959,370.7143
2000,40,1,"1-WNH","College",2972.39,198.9189,69.29607,5.30303,205.5818,338.7747,56.81664,0,23.88053,42.15569,525.1352,616.5057,62.0726,24.125,2,52.36875,16.15385,113.9905,51.36105,277.1361,288.2143
2000,40,1,"2-BNH","LEHS",5514.946,285.1364,169.558,6,326.5766,114.1529,364.866,0,91.96875,99.01695,972.63,683.4259,212.6753,62.18919,.3333333,111.5625,82.75269,171.2727,101.8252,581.8134,1076.439
2000,40,1,"2-BNH","SomeC",1077.234,59.26364,20.78453,0,28.15315,32.14013,65.74163,0,9.083333,16.14407,215.2813,145.7222,40.45454,12.64865,.3333333,28.6875,19.01075,20.72727,7.747573,141.7959,213.9077
2000,40,1,"2-BNH","College",521.8203,24.6,7.657459,0,20.27027,27.70701,27.39235,0,7.947917,11.83898,107.0887,85.85185,13.87013,3.162162,.3333333,12.75,2.236559,12,4.427185,48.39067,104.6537
2000,40,1,"3-Hisp","LEHS",2530.609,219.3061,130.0298,.6666667,184.7773,118.3026,143.2267,0,29.35484,68.59524,275.1934,260.4717,82.37209,11.55556,0,56.53125,23.76,242.797,75.35135,224.2927,383.8998
